Género,epíteto específico,Color_1,Color_2,Color_3,Láminas,Poros,Dientes,Pliegues,Gasteroide,Plato-cuenco-olla,Pie-sombrero-no-tipico,Nido,Gelatinosas,Coral-coliflor,Embudo-c/s-hendidura,Porra,Porra con cabeza,Clavo,Repisa-leñosos,Costra,Falos hediondos,Otros,Líquenes,Myxomycetos
Agaricus,arvensis,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,bitorquis,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,blazei,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,bisporus,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,brasiliensis,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,campestris,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,devoniensis,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,dulcidulus,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,globocystidiatus,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,heinemanni,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,pampeanus,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,subrufescens,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,subrutilescens,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agaricus,xanthodermus,94.15 -1.9 4.22,78.53 21.04 8.2; 28.29 13.27 5.37,94.23 -1.56 4.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrocybe,pediades,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrocybe,paecox,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita,citrina,95.98 -17.53 43.84,100 0.01 -0.01,100 0.01 -0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita,excelsa,30.54 4.65 8.44,100 0.01 -0.01,95.35 -1.39 6.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita,lilloi,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
